"UPC","HSY Item Description","Hsy Seasonal Segmentation","Store Nbr","Store Name","Building City","Building State/Prov","Building Postal Code","Store Type","WM Date","SeasonAndYear","OH Qty","POS Qty","POS Sales","MSO"
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7043,"RIVERTON UT","RIVERTON","UT",84065,"Neighborhood Market","3/28/2018 12:00:00 AM","EAS2018",0,0,0,6.64523281596452
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7072,"CAPE GIRARDEAU E MO","CAPE GIRARDEAU","MO",63701,"Neighborhood Market","3/27/2018 12:00:00 AM","EAS2018",0,5,5,10.8751433595841
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7072,"CAPE GIRARDEAU E MO","CAPE GIRARDEAU","MO",63701,"Neighborhood Market","3/30/2018 12:00:00 AM","EAS2018",0,0,0,26.820399113082
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",353,"GRAHAM TX","GRAHAM","TX",76450,"Supercenter","3/29/2018 12:00:00 AM","EAS2018",0,0,0,8.80888866511572
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",353,"GRAHAM TX","GRAHAM","TX",76450,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,10.2975416378518
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",364,"CENTER TX","CENTER","TX",75935,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,12.3570499654221
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",728,"HILTON HD ISL SC","HILTON HEAD ISLAND","SC",29926,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,1,2.48,6.17852498271106
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",743,"OKLAHOMA CITY OK","OKLAHOMA CITY","OK",73149,"Supercenter","3/25/2018 12:00:00 AM","EAS2018",0,1,2.48,3.01775178553711
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",743,"OKLAHOMA CITY OK","OKLAHOMA CITY","OK",73149,"Supercenter","3/28/2018 12:00:00 AM","EAS2018",0,0,0,4.3224248850242
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",743,"OKLAHOMA CITY OK","OKLAHOMA CITY","OK",73149,"Supercenter","3/31/2018 12:00:00 AM","EAS2018",0,0,0,10.9726027007776
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",750,"INDEPENDENCE IA","INDEPENDENCE","IA",50644,"Supercenter","3/28/2018 12:00:00 AM","EAS2018",0,1,2.48,6.48363732753629
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",97,"RIPLEY TN","RIPLEY","TN",38063,"Supercenter","3/31/2018 12:00:00 AM","EAS2018",0,5,12.4,10.9726027007776
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",423,"PELHAM AL","ALABASTER","AL",35007,"Supercenter","3/19/2018 12:00:00 AM","EAS2018",0,0,0,2.03408229883492
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",423,"PELHAM AL","ALABASTER","AL",35007,"Supercenter","3/22/2018 12:00:00 AM","EAS2018",0,0,0,2.63392901757297
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",423,"PELHAM AL","ALABASTER","AL",35007,"Supercenter","3/25/2018 12:00:00 AM","EAS2018",0,0,0,3.01775178553711
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",423,"PELHAM AL","ALABASTER","AL",35007,"Supercenter","3/28/2018 12:00:00 AM","EAS2018",0,0,0,4.3224248850242
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",772,"HOUSTON (ALIEF) TX","HOUSTON","TX",77082,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,5.14877081892588
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",773,"EUNICE LA","EUNICE","LA",70535,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,3.08926249135553
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",434,"HUNTSVILLE, AL","HUNTSVILLE","AL",35803,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,9,22.32,24.7140999308442
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",130,"MUSKOGEE OK","MUSKOGEE","OK",74401,"Supercenter","3/30/2018 12:00:00 AM","EAS2018",0,0,0,8.2605300730335
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",793,"CANYON TX","CANYON","TX",79015,"Supercenter","3/31/2018 12:00:00 AM","EAS2018",0,3,7.44,29.2602738687403
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",797,"BURLINGTON IA","WEST BURLINGTON","IA",52655,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,13.3868041292073
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",145,"BOWLING GREEN MO","BOWLING GREEN","MO",63334,"Supercenter","3/31/2018 12:00:00 AM","EAS2018",0,9,22.32,25.6027396351477
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",150,"WOODWARD OK","WOODWARD","OK",73801,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,8.23803331028141
